id,symbol,name,asset_class,currency,isin
1,SAP.DE,SAP SE,EQUITY,EUR,DE0007164600
2,SIE.DE,Siemens AG,EQUITY,EUR,DE0007236101
3,DBKGn.DE,Deutsche Bank AG,EQUITY,EUR,DE0005140008
4,AAPL,Apple Inc,EQUITY,USD,US0378331005
5,MSFT,Microsoft Corp,EQUITY,USD,US5949181045
6,GOOGL,Alphabet Inc,EQUITY,USD,US02079K3059
7,HSBA.L,HSBC Holdings,EQUITY,GBP,GB0005405286
8,VOD.L,Vodafone Group,EQUITY,GBP,GB00BH4HKS39
9,T.TO,Telus Corp,EQUITY,CAD,CA87971M1032
10,BUND10Y,German 10Y Bund,FIXED_INCOME,EUR,DE0001102341
11,UST10Y,US 10Y Treasury,FIXED_INCOME,USD,US912828Z948
12,GILT10Y,UK 10Y Gilt,FIXED_INCOME,GBP,GB00BFWFPL34
13,EUR/USD,EUR/USD Spot,FX,USD,NULL
14,USD/JPY,USD/JPY Spot,FX,JPY,NULL
15,GBP/USD,GBP/USD Spot,FX,USD,NULL
